year,date,price_22k_8g_published,price_22k_1g_calculated,source_url
1925,1925-03-31,13.75,1.71875,https://www.keralagold.com/yearly-gold-prices.htm
1930,1930-03-31,13.57,1.69625,https://www.keralagold.com/yearly-gold-prices.htm
1935,1935-03-31,22.65,2.83125,https://www.keralagold.com/yearly-gold-prices.htm
1940,1940-03-31,26.77,3.34625,https://www.keralagold.com/yearly-gold-prices.htm
1945,1945-03-31,45.49,5.68625,https://www.keralagold.com/yearly-gold-prices.htm
1950,1950-03-31,72.75,9.09375,https://www.keralagold.com/yearly-gold-prices.htm
1955,1955-03-31,58.11,7.26375,https://www.keralagold.com/yearly-gold-prices.htm
1960,1960-03-31,82.05,10.25625,https://www.keralagold.com/yearly-gold-prices.htm
1965,1965-03-31,90.2,11.275,https://www.keralagold.com/yearly-gold-prices.htm
1970,1970-03-31,135.3,16.9125,https://www.keralagold.com/yearly-gold-prices.htm
1975,1975-03-31,396,49.5,https://www.keralagold.com/yearly-gold-prices.htm
1980,1980-03-31,975,121.875,https://www.keralagold.com/yearly-gold-prices.htm
1985,1985-03-31,1573,196.625,https://www.keralagold.com/yearly-gold-prices.htm
1990,1990-03-31,2493,311.625,https://www.keralagold.com/yearly-gold-prices.htm
1995,1995-03-31,3432,429,https://www.keralagold.com/yearly-gold-prices.htm
1996,1996-03-31,3784,473,https://www.keralagold.com/yearly-gold-prices.htm
1997,1997-03-31,3432,429,https://www.keralagold.com/yearly-gold-prices.htm
1998,1998-03-31,2966,370.75,https://www.keralagold.com/yearly-gold-prices.htm
1999,1999-03-31,3106,388.25,https://www.keralagold.com/yearly-gold-prices.htm
2000,2000-03-31,3212,401.5,https://www.keralagold.com/yearly-gold-prices.htm
2001,2001-03-31,3073,384.125,https://www.keralagold.com/yearly-gold-prices.htm
2002,2002-03-31,3670,458.75,https://www.keralagold.com/yearly-gold-prices.htm
2003,2003-03-31,3857,482.125,https://www.keralagold.com/yearly-gold-prices.htm
2004,2004-03-31,4448,556,https://www.keralagold.com/yearly-gold-prices.htm
2005,2005-03-31,4550,568.75,https://www.keralagold.com/yearly-gold-prices.htm
2006,2006-03-31,6255,781.875,https://www.keralagold.com/yearly-gold-prices.htm
2007,2007-03-31,6890,861.25,https://www.keralagold.com/yearly-gold-prices.htm
2008,2008-03-31,8892,1111.5,https://www.keralagold.com/yearly-gold-prices.htm
2009,2009-03-31,11077,1384.625,https://www.keralagold.com/yearly-gold-prices.htm
2010,2010-03-31,12280,1535,https://www.keralagold.com/yearly-gold-prices.htm
2011,2011-03-31,15560,1945,https://www.keralagold.com/yearly-gold-prices.htm
2012,2012-03-31,20880,2610,https://www.keralagold.com/yearly-gold-prices.htm
2013,2013-03-31,22240,2780,https://www.keralagold.com/yearly-gold-prices.htm
2014,2014-03-31,21480,2685,https://www.keralagold.com/yearly-gold-prices.htm
2015,2015-03-31,19760,2470,https://www.keralagold.com/yearly-gold-prices.htm
2016,2016-03-31,21360,2670,https://www.keralagold.com/yearly-gold-prices.htm
2017,2017-03-31,21800,2725,https://www.keralagold.com/yearly-gold-prices.htm
2018,2018-03-31,22600,2825,https://www.keralagold.com/yearly-gold-prices.htm
2019,2019-03-31,23720,2965,https://www.keralagold.com/yearly-gold-prices.htm
2020,2020-03-31,32000,4000,https://www.keralagold.com/yearly-gold-prices.htm
2021,2021-03-31,32880,4110,https://www.keralagold.com/yearly-gold-prices.htm
2022,2022-03-31,38120,4765,https://www.keralagold.com/yearly-gold-prices.htm
2023,2023-03-31,44000,5500,https://www.keralagold.com/yearly-gold-prices.htm
2024,2024-03-31,50200,6275,https://www.keralagold.com/yearly-gold-prices.htm
2025,2025-03-31,67400,8425,https://www.keralagold.com/yearly-gold-prices.htm
2026,2026-03-31,109640,13705,https://www.keralagold.com/yearly-gold-prices.htm
