timestamp_utc,date,price_usd_per_troy_ounce,price_usd_per_gram,source
1973-01-04T05:00:00.000Z,1973-01-04,64.9000,2.086583,GoldPrice.org
1973-01-05T05:00:00.000Z,1973-01-05,65.2500,2.097836,GoldPrice.org
1973-01-08T05:00:00.000Z,1973-01-08,65.1000,2.093014,GoldPrice.org
1973-01-09T05:00:00.000Z,1973-01-09,65.1500,2.094621,GoldPrice.org
1973-01-10T05:00:00.000Z,1973-01-10,65.0000,2.089799,GoldPrice.org
1973-01-12T05:00:00.000Z,1973-01-12,65.1500,2.094621,GoldPrice.org
1973-01-15T05:00:00.000Z,1973-01-15,65.1000,2.093014,GoldPrice.org
1973-01-16T05:00:00.000Z,1973-01-16,65.1000,2.093014,GoldPrice.org
1973-01-17T05:00:00.000Z,1973-01-17,64.6500,2.078546,GoldPrice.org
1973-01-18T05:00:00.000Z,1973-01-18,63.9000,2.054433,GoldPrice.org
1973-01-19T05:00:00.000Z,1973-01-19,64.5000,2.073723,GoldPrice.org
1973-01-22T05:00:00.000Z,1973-01-22,65.2000,2.096229,GoldPrice.org
1973-01-23T05:00:00.000Z,1973-01-23,65.2000,2.096229,GoldPrice.org
1973-01-24T05:00:00.000Z,1973-01-24,64.9500,2.088191,GoldPrice.org
1973-01-26T05:00:00.000Z,1973-01-26,65.5000,2.105874,GoldPrice.org
1973-01-29T05:00:00.000Z,1973-01-29,65.3000,2.099444,GoldPrice.org
1973-01-30T05:00:00.000Z,1973-01-30,66.7500,2.146062,GoldPrice.org
1973-01-31T05:00:00.000Z,1973-01-31,66.0000,2.121949,GoldPrice.org
1973-02-02T05:00:00.000Z,1973-02-02,66.9000,2.150885,GoldPrice.org
1973-02-05T05:00:00.000Z,1973-02-05,67.6000,2.173390,GoldPrice.org
1973-02-06T05:00:00.000Z,1973-02-06,68.8000,2.211971,GoldPrice.org
1973-02-07T05:00:00.000Z,1973-02-07,68.6500,2.207149,GoldPrice.org
